county,year,voluntary_new,voluntary_renewed,voluntary_nonrenewed,fair_plan_new,fair_plan_renewed,dic_new,dic_renewed,voluntary_nonrenewal_rate_cdi_pct,fair_plan_new_plus_renewed,fair_plan_share_of_new_plus_renewed_pct,detached_very_high_est,homes_combustible_fence_attached_est,fair_plan_pif_all_lines_2025
Alameda,2023,25158,318139,26698,1021,2359,878,1502,7.78,3380,0.97,5085,1400,11694
Alameda,2022,32872,317670,32294,788,2137,693,1129,9.21,2925,0.83,5085,1400,11694
Alameda,2021,40972,315157,39636,722,1899,626,783,11.13,2621,0.73,5085,1400,11694
Alameda,2020,37118,318576,32905,727,1672,537,470,9.25,2399,0.67,5085,1400,11694
Alpine,2023,17,443,63,68,163,62,114,13.7,231,33.43,,,392
Alpine,2022,25,498,55,57,137,49,83,10.52,194,27.06,,,392
Alpine,2021,39,529,68,52,114,52,55,11.97,166,22.62,,,392
Alpine,2020,66,524,76,61,67,47,34,12.88,128,17.83,,,392
Amador,2023,706,9580,1566,1101,3519,1240,3146,15.22,4620,30.99,9882,2721,6186
Amador,2022,1129,10205,1348,769,3233,921,2755,11.89,4002,26.1,9882,2721,6186
Amador,2021,1663,10222,2157,1018,2707,1364,2048,18.15,3725,23.86,9882,2721,6186
Amador,2020,1566,10482,1713,1218,1961,1360,1542,14.22,3179,20.88,9882,2721,6186
Butte,2023,4836,46091,8014,3046,3168,3045,2627,15.74,6214,10.87,8165,1066,9392
Butte,2022,5685,49245,5850,1188,2811,1140,2124,10.65,3999,6.79,8165,1066,9392
Butte,2021,6322,49699,6970,1208,2237,1135,1592,12.44,3445,5.79,8165,1066,9392
Butte,2020,7620,49967,8894,1567,1326,1406,841,15.44,2893,4.78,8165,1066,9392
Calaveras,2023,792,14025,2481,2081,6270,2080,5026,16.74,8351,36.05,13447,2976,10572
Calaveras,2022,1254,15676,1977,1538,5639,1649,4170,11.68,7177,29.77,13447,2976,10572
Calaveras,2021,1814,16275,2700,1755,4616,1894,3226,14.93,6371,26.05,13447,2976,10572
Calaveras,2020,2236,16605,2874,2378,3055,2194,2131,15.25,5433,22.38,13447,2976,10572
Colusa,2023,347,4580,367,14,22,10,4,7.45,36,0.73,284,78,68
Colusa,2022,505,4531,495,15,14,3,2,9.83,29,0.57,284,78,68
Colusa,2021,618,4437,539,6,8,4,0,10.66,14,0.28,284,78,68
Colusa,2020,577,4377,469,3,7,2,1,9.47,10,0.2,284,78,68
Contra Costa,2023,22408,272513,23533,1116,1038,1043,708,7.98,2154,0.73,12471,3433,12837
