county,pif_2025,pif_2024,pif_2023,pif_2022,pif_2021,exposure_2025,exposure_2024,exposure_2023,exposure_2022,exposure_2021,detached_very_high_est,homes_combustible_fence_attached_est,note
Alameda,11694,6774,3519,2956,2638,18552360134,9822579031,4112147801,3047740652,2168948832,5085,1400,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Alpine,392,346,297,263,218,330839876,276712560,222282425,179049160,133634788,,,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Amador,6186,5495,4742,4041,3625,5112500719,4365314159,3526367836,2808434094,2305390502,9882,2721,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Butte,9392,8165,5878,3722,3265,7280278840,6052068909,4007419450,2472656045,1983546684,8165,1066,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Calaveras,10572,9548,8520,6983,6069,8987677408,7730480439,6505003809,4970383068,3935377055,13447,2976,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Colusa,68,48,38,28,12,47803840,29990561,25520070,19756386,6414190,284,78,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Contra Costa,12837,6541,1993,1264,1094,22939890154,10792344863,2634687162,1386513747,948922600,12471,3433,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Del Norte,572,354,215,157,127,349294830,194691392,107233824,75271990,49869705,,,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
El Dorado,28167,23921,18715,15454,14090,28345747025,22665633656,16310111502,12343524794,10305466446,36909,7913,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Fresno,5821,4674,3738,3311,2875,4891221940,3709696894,2785240426,2225601356,1771945293,4145,1141,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Glenn,58,49,27,23,11,36983950,26378389,20334407,15797553,7495266,242,67,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Humboldt,2844,2061,1448,1096,930,2094513504,1443675653,916660468,647040699,494837877,2038,561,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Imperial,661,453,277,245,254,388742336,239605518,113861824,81811722,74450011,,,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Inyo,303,188,81,55,45,228878444,157026373,67069027,35015661,22342053,78,21,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Kern,11329,8551,5642,4715,4273,6668598774,4593896136,2762174367,2013989565,1591222251,11166,587,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Kings,179,117,54,46,24,115363247,70826017,33155040,18513551,7635521,,,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
Lake,5739,4837,3298,2230,1592,3947932246,3238284376,2291666306,1466564625,928661671,14943,4114,"PIF and exposure are county-wide FAIR Plan residual-market totals (residential + commercial + BOP), not FHSZ-restricted. The last two columns are from zone0_combustible_fence_estimate.json and are context only."
