county,structures_determined,fence_attached,attached_combustible,attached_non_combustible,no_fence,pct_fence_attached,pct_of_attached_combustible,pct_combustible_fence_attached
Los Angeles,8880,7211,3746,3465,1669,81.2,51.95,42.18
El Dorado,2458,673,527,146,1785,27.38,78.31,21.44
Orange,1544,1346,241,1105,198,87.18,17.9,15.61
Plumas,1055,187,74,113,868,17.73,39.57,7.01
Napa,963,238,165,73,725,24.71,69.33,17.13
Ventura,863,542,190,352,321,62.8,35.06,22.02
Sonoma,770,431,389,42,339,55.97,90.26,50.52
Butte,751,218,98,120,533,29.03,44.95,13.05
San Bernardino,660,400,177,223,260,60.61,44.25,26.82
Tulare,442,54,44,10,388,12.22,81.48,9.95
Mariposa,381,125,65,60,256,32.81,52.0,17.06
Shasta,365,147,65,82,218,40.27,44.22,17.81
Kern,361,41,19,22,320,11.36,46.34,5.26
Siskiyou,340,123,50,73,217,36.18,40.65,14.71
Lassen,335,96,30,66,239,28.66,31.25,8.96
Riverside,329,108,36,72,221,32.83,33.33,10.94
Tehama,295,46,22,24,249,15.59,47.83,7.46
Placer,247,65,31,34,182,26.32,47.69,12.55
Alpine,219,51,37,14,168,23.29,72.55,16.89
Santa Cruz,122,45,39,6,77,36.89,86.67,31.97
Calaveras,122,49,27,22,73,40.16,55.1,22.13
Trinity,112,24,16,8,88,21.43,66.67,14.29
Santa Clara,104,30,23,7,74,28.85,76.67,22.12
Mendocino,103,19,11,8,84,18.45,57.89,10.68
Solano,101,40,23,17,61,39.6,57.5,22.77
Fresno,99,13,6,7,86,13.13,46.15,6.06
Madera,92,18,5,13,74,19.57,27.78,5.43
Nevada,92,22,12,10,70,23.91,54.55,13.04
Tuolumne,91,32,14,18,59,35.16,43.75,15.38
Santa Barbara,89,21,13,8,68,23.6,61.9,14.61
San Diego,85,50,40,10,35,58.82,80.0,47.06
Amador,53,1,1,0,52,1.89,100.0,1.89
Yolo,46,8,3,5,38,17.39,37.5,6.52
Monterey,44,22,17,5,22,50.0,77.27,38.64
Stanislaus,36,15,9,6,21,41.67,60.0,25.0
Lake,23,5,3,2,18,21.74,60.0,13.04
San Joaquin,22,3,1,2,19,13.64,33.33,4.55
San Benito,18,4,2,2,14,22.22,50.0,11.11
Yuba,17,4,2,2,13,23.53,50.0,11.76
Glenn,17,3,0,3,14,17.65,0.0,0.0
Alameda,13,4,1,3,9,30.77,25.0,7.69
Colusa,11,4,1,3,7,36.36,25.0,9.09
Humboldt,8,0,0,0,8,0.0,,0.0
(unknown),6,0,0,0,6,0.0,,0.0
Mono,6,0,0,0,6,0.0,,0.0
San Luis Obispo,2,1,0,1,1,50.0,0.0,0.0
Inyo,1,0,0,0,1,0.0,,0.0
Merced,1,0,0,0,1,0.0,,0.0
San Mateo,1,0,0,0,1,0.0,,0.0
