slug,place_name,geoid,state,boundary_source,boundary_area_sq_mi,census_land_area_sq_mi,responsibility_area,fhsz_tier,area_sq_mi,pct_of_boundary_area,fhsz_layer,fhsz_layer_vintage,retrieved
agoura-hills,Agoura Hills city,0600394,CA,US Census TIGERweb Incorporated Place,7.837,7.796,LRA,Very High,6.091,77.72,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
agoura-hills,Agoura Hills city,0600394,CA,US Census TIGERweb Incorporated Place,7.837,7.796,LRA,High,0.647,8.25,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
agoura-hills,Agoura Hills city,0600394,CA,US Census TIGERweb Incorporated Place,7.837,7.796,LRA,Moderate,0.605,7.72,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
agoura-hills,Agoura Hills city,0600394,CA,US Census TIGERweb Incorporated Place,7.837,7.796,LRA,NonWildland,0.492,6.28,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
agoura-hills,Agoura Hills city,0600394,CA,US Census TIGERweb Incorporated Place,7.837,7.796,NONE,No mapped FHSZ polygon,0.002,0.03,,,2026-08-14
altadena,Altadena CDP,0601290,CA,US Census TIGERweb Census Designated Place,8.502,8.465,SRA,Very High,0.904,10.63,FHSZSRA_23_3,SRA maps effective 2024-04-01,2026-08-14
altadena,Altadena CDP,0601290,CA,US Census TIGERweb Census Designated Place,8.502,8.465,LRA,Very High,1.818,21.38,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
altadena,Altadena CDP,0601290,CA,US Census TIGERweb Census Designated Place,8.502,8.465,LRA,High,0.616,7.24,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
altadena,Altadena CDP,0601290,CA,US Census TIGERweb Census Designated Place,8.502,8.465,LRA,Moderate,0.555,6.52,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
altadena,Altadena CDP,0601290,CA,US Census TIGERweb Census Designated Place,8.502,8.465,LRA,NonWildland,4.005,47.11,FHSZLRA25_v1_All,LRA map dated 2025-03-24,2026-08-14
altadena,Altadena CDP,0601290,CA,US Census TIGERweb Census Designated Place,8.502,8.465,NONE,No mapped FHSZ polygon,0.605,7.12,,,2026-08-14
