agency,agency_type
City of Arcadia,city
City of Banning,city
City of Beaumont,city
City of Berkeley,city
City of Bradbury,city
City of Calabasas,city
City of Chula Vista,city
City of Corona,city
City of Dana Point,city
City of Eastvale,city
City of El Cerrito,city
City of Hemet,city
City of Jurupa Valley,city
City of La Verne,city
City of Lake Elsinore,city
City of Lake Forest,city
City of Malibu,city
City of Mission Viejo,city
City of Monterey,city
City of Moreno Valley,city
City of Murrieta,city
City of Nevada City,city
City of Norco,city
City of Pacific Grove,city
City of Palm Springs,city
City of Rancho Palos Verdes,city
City of Rancho Santa Margarita,city
City of Redlands,city
City of Riverside,city
City of San Clemente,city
City of San Juan Capistrano,city
City of San Luis Obispo,city
City of Santee,city
City of Saratoga,city
City of Shasta Lake,city
City of Temecula,city
City of Vacaville,city
City of Westlake Village,city
City of Wildomar,city
City of Yucaipa,city
Town of Los Gatos,city
Town of Truckee,city
County of Alpine,county
County of Butte,county
County of El Dorado,county
County of Los Angeles,county
County of Mariposa,county
County of Napa,county
County of Nevada,county
County of Placer,county
County of Riverside,county
County of San Diego,county
County of Santa Barbara,county
County of Santa Cruz 2026 FIRE RISK REDUCTION COMMUNITY LIST,county
Albion Little River Fire Protection District,special district or department
Alpine Fire Protection District,special district or department
Brea Fire Department,special district or department
Calistoga Fire Department,special district or department
Cambria Community Services District,special district or department
Carmel Highland Fire Protection District,special district or department
Chino Valley Fire District,special district or department
Chula Vista Fire Department,special district or department
Contra Costa Fire Protection District,special district or department
Crockett-Carquinez Fire Protection District,special district or department
Cypress Fire Protection District,special district or department
East Bay Municipal Utility District,special district or department
East Bay Regional Park District,special district or department
El Cerrito-Kensington Fire,special district or department
Elk Community Services District,special district or department
Fontana Fire Protection District,special district or department
Humboldt County Resource Conservation District,special district or department
Inverness Public Utility District,special district or department
Kern County Fire Department,special district or department
Lake County Fire Protection District,special district or department
Leggett Valley Fire Protection District,special district or department
Long Valley Fire Protection District,special district or department
Los Altos Hills County Fire District,special district or department
Mariposa Resource Conservation District,special district or department
Monterey County Regional Fire District,special district or department
Monterey Fire Department,special district or department
Moraga-Orinda Fire Protection District,special district or department
Morro Bay Fire Department,special district or department
North Sonoma Coast Fire Protection District,special district or department
North Tahoe Fire Protection District,special district or department
Northern Sonoma County Fire Protection District,special district or department
Northstar Fire Department,special district or department
Novato Fire Protection District,special district or department
Olympic Valley Fire Department,special district or department
Orange County Fire Authority,special district or department
Pebble Beach Community Services District,special district or department
Placer County Resource Conservation District,special district or department
Rancho Cucamonga Fire Protection District,special district or department
Rancho Murieta Community Services District,special district or department
Richmond Fire Department,special district or department
Round Valley Indian Tribes,special district or department
"Running Springs Fire Department and socially sustainable management of forest and rangelands, and a fire protection system that protects and serves the people of the state",special district or department
Sacramento Municipal Utility District,special district or department
San Bernardino County Fire Protection District,special district or department
San Diego County Fire Protection District,special district or department
San Miguel Consolidated Fire Protection District,special district or department
San Ramon Valley Fire Protection District,special district or department
Santa Lucia Community Services District,special district or department
Shasta Valley Resource Conservation District,special district or department
Solano Resource Conservation District,special district or department
Sonoma Valley Fire District,special district or department
South Lake Tahoe Fire Rescue,special district or department
South Placer Fire Protection District,special district or department
Southern Marin Fire Protection District,special district or department
Stanislaus County Office of Education,special district or department
Stinson Beach Fire Protection District,special district or department
Suisun Fire Protection District,special district or department
Tahoe City Public Utility District,special district or department
Trabuco Canyon Water District,special district or department
Trinity Center Community Services District,special district or department
Truckee Fire Protection District,special district or department
Vacaville Fire Protection District,special district or department
Ventura County Fire Protection District,special district or department
Vista Fire Protection District,special district or department
Yurok Fire Department,special district or department
