county_fips,county_name,responsibility_area,fhsz_tier,housing_units,occupied_housing_units,detached_single_family_est,mobile_homes_est,population,pct_of_county_housing_units
001,Alameda County,LRA,Very High,4810,4609,4689,0,11498,0.77
001,Alameda County,SRA,Very High,398,388,396,0,1101,0.06
001,Alameda County,LRA,High,16374,15707,12969,454,44042,2.63
001,Alameda County,SRA,High,3952,3809,3461,26,11005,0.64
001,Alameda County,LRA,Moderate,19019,18323,13980,47,55877,3.06
001,Alameda County,SRA,Moderate,3560,3380,1951,64,9259,0.57
001,Alameda County,LRA,NonWildland,573841,545418,282651,7210,1549451,92.26
001,Alameda County,No,mapped FHSZ polygon,4,2,0,0,120,0.0
003,Alpine County,No,mapped FHSZ polygon,1540,530,1082,26,1204,100.0
005,Amador County,SRA,Very High,11006,8654,9882,429,23330,58.53
005,Amador County,LRA,High,1942,1761,1364,94,4347,10.33
005,Amador County,SRA,High,4471,3970,3435,641,9561,23.78
005,Amador County,LRA,NonWildland,973,932,973,0,2346,5.17
005,Amador County,No,mapped FHSZ polygon,413,361,200,0,890,2.2
007,Butte County,LRA,Very High,2090,1816,1457,180,3920,2.32
007,Butte County,SRA,Very High,10027,8353,6708,2806,20057,11.12
007,Butte County,LRA,High,5348,5008,3299,396,12185,5.93
007,Butte County,SRA,High,6241,5656,4369,1590,14625,6.92
007,Butte County,LRA,Moderate,2108,1980,1573,81,4826,2.34
007,Butte County,SRA,Moderate,960,900,773,74,2401,1.07
007,Butte County,LRA,NonWildland,62846,59178,35594,4442,152768,69.73
007,Butte County,No,mapped FHSZ polygon,513,377,438,70,850,0.57
009,Calaveras County,SRA,Very High,14931,8222,13447,814,19277,54.45
009,Calaveras County,LRA,High,2226,1913,1800,169,4354,8.12
009,Calaveras County,SRA,High,7630,6318,6489,756,15959,27.82
009,Calaveras County,SRA,Moderate,833,791,817,16,2092,3.04
009,Calaveras County,LRA,NonWildland,730,679,373,81,1613,2.66
009,Calaveras County,No,mapped FHSZ polygon,1072,835,896,140,1997,3.91
011,Colusa County,SRA,Very High,425,246,284,125,524,5.25
011,Colusa County,LRA,NonWildland,7318,6672,5842,295,20533,90.36
011,Colusa County,No,mapped FHSZ polygon,356,309,324,16,782,4.4
013,Contra Costa County,LRA,Very High,14616,14032,12096,230,38812,3.45
013,Contra Costa County,SRA,Very High,393,382,375,0,952,0.09
013,Contra Costa County,LRA,High,26035,24643,18358,27,66677,6.15
013,Contra Costa County,SRA,High,8047,7725,7823,0,21527,1.9
013,Contra Costa County,LRA,Moderate,29641,28610,21345,142,79525,7.0
013,Contra Costa County,LRA,NonWildland,344610,331637,224876,6047,958434,81.4
015,Del Norte County,LRA,Moderate,1516,1348,676,636,6198,13.67
015,Del Norte County,SRA,Moderate,5775,5079,4052,1419,13222,52.07
015,Del Norte County,LRA,NonWildland,2867,2607,1518,160,6584,25.85
015,Del Norte County,No,mapped FHSZ polygon,932,773,597,268,1739,8.4
017,El Dorado County,LRA,Very High,16439,11588,11184,778,27648,17.59
017,El Dorado County,SRA,Very High,29426,23120,25725,2031,57714,31.48
017,El Dorado County,LRA,High,1667,1576,1228,0,4074,1.78
017,El Dorado County,SRA,High,10439,9787,8735,855,25408,11.17
017,El Dorado County,LRA,Moderate,6316,4779,4622,146,12867,6.76
017,El Dorado County,SRA,Moderate,12550,12050,9680,553,31622,13.43
017,El Dorado County,LRA,NonWildland,8144,7467,6478,0,20357,8.71
017,El Dorado County,No,mapped FHSZ polygon,8486,4953,7864,324,11495,9.08
019,Fresno County,SRA,Very High,5089,2894,4145,677,7665,1.5
019,Fresno County,SRA,High,3722,3108,2046,1561,8246,1.1
019,Fresno County,LRA,Moderate,1424,1331,952,0,3539,0.42
019,Fresno County,SRA,Moderate,642,595,524,101,1637,0.19
019,Fresno County,LRA,NonWildland,324212,309718,216381,11032,983108,95.8
019,Fresno County,No,mapped FHSZ polygon,3352,1650,2707,451,4459,0.99
021,Glenn County,SRA,Very High,281,220,242,32,556,2.58
021,Glenn County,SRA,High,334,298,253,67,818,3.07
021,Glenn County,LRA,NonWildland,10280,9659,7225,1252,27543,94.36
023,Humboldt County,SRA,Very High,2760,2142,2038,455,4785,4.44
023,Humboldt County,SRA,High,3988,3313,3287,465,8029,6.42
023,Humboldt County,LRA,Moderate,9962,9345,7316,824,22851,16.04
023,Humboldt County,SRA,Moderate,10766,9624,8993,925,23203,17.33
023,Humboldt County,LRA,NonWildland,31345,29270,18580,1256,70428,50.46
023,Humboldt County,No,mapped FHSZ polygon,3299,2728,2538,515,7167,5.31
025,Imperial County,LRA,Moderate,1047,762,774,245,2294,1.85
025,Imperial County,LRA,NonWildland,52923,49827,32703,4002,170136,93.46
025,Imperial County,No,mapped FHSZ polygon,2655,1461,1388,1134,7272,4.69
027,Inyo County,SRA,Very High,832,787,78,754,1712,8.79
027,Inyo County,LRA,High,1115,1025,934,164,2552,11.78
027,Inyo County,SRA,High,510,344,413,72,736,5.39
027,Inyo County,SRA,Moderate,1891,1639,1209,517,3898,19.97
027,Inyo County,LRA,NonWildland,2618,2331,1597,402,5206,27.65
027,Inyo County,No,mapped FHSZ polygon,2503,1920,1705,575,4912,26.43
029,Kern County,SRA,Very High,15000,11069,11166,3397,25475,4.98
029,Kern County,LRA,High,1728,1599,1242,164,8040,0.57
029,Kern County,SRA,High,6133,5257,4291,1485,13055,2.04
029,Kern County,LRA,Moderate,14888,13365,10435,2415,40563,4.95
029,Kern County,SRA,Moderate,2502,2366,2021,36,6250,0.83
029,Kern County,LRA,NonWildland,255189,243495,184618,13543,804468,84.78
029,Kern County,No,mapped FHSZ polygon,5569,4347,3307,1542,11384,1.85
031,Kings County,LRA,High,682,649,430,42,2590,1.47
031,Kings County,LRA,NonWildland,43792,41850,32425,1817,143240,94.61
031,Kings County,No,mapped FHSZ polygon,1813,1601,249,0,6656,3.92
033,Lake County,LRA,Very High,5121,3984,3363,1266,10078,14.96
033,Lake County,SRA,Very High,15616,12160,11580,2730,29078,45.63
033,Lake County,LRA,High,3816,3141,2474,1131,8199,11.15
033,Lake County,SRA,High,622,510,594,21,1315,1.82
033,Lake County,LRA,Moderate,1432,1209,806,272,2949,4.18
033,Lake County,SRA,Moderate,1548,1372,1121,293,3471,4.52
033,Lake County,LRA,NonWildland,5720,4959,3841,971,12398,16.72
033,Lake County,No,mapped FHSZ polygon,345,287,303,16,675,1.01
035,Lassen County,LRA,Very High,1089,926,890,45,1968,8.91
035,Lassen County,SRA,Very High,1963,1615,1687,182,4151,16.07
035,Lassen County,LRA,High,763,714,702,52,1931,6.25
035,Lassen County,SRA,High,1638,1371,1104,315,3392,13.41
035,Lassen County,LRA,Moderate,1522,1287,1024,186,3111,12.46
035,Lassen County,LRA,NonWildland,3153,2790,2183,401,14523,25.81
035,Lassen County,No,mapped FHSZ polygon,2088,1185,1560,378,3654,17.09
037,Los Angeles County,LRA,Very High,341997,322003,220466,5014,864080,9.52
037,Los Angeles County,SRA,Very High,26433,24547,21546,1978,76146,0.74
037,Los Angeles County,LRA,High,101782,97181,62513,2094,268842,2.83
037,Los Angeles County,SRA,High,1309,1200,912,11,5949,0.04
037,Los Angeles County,LRA,Moderate,79038,75526,40379,2330,203883,2.2
037,Los Angeles County,SRA,Moderate,821,716,602,192,2067,0.02
