county_fips,county,population_2020,pop_very_high,pop_high,pop_very_high_or_high,pct_very_high,pct_very_high_or_high,pop_sra_very_high,pop_lra_very_high,pop_no_mapped_fhsz
06037,Los Angeles,10014009,940226,274791,1215017,9.39,12.13,76146,864080,15322
06073,San Diego,3298634,559512,285086,844598,16.96,25.6,147295,412217,84674
06065,Riverside,2418185,377690,114920,492610,15.62,20.37,95986,281704,31184
06059,Orange,3186989,215027,116855,331882,6.75,10.41,20371,194656,928
06111,Ventura,843843,197322,51783,249105,23.38,29.52,32992,164330,4077
06071,San Bernardino,2181654,171760,84330,256090,7.87,11.74,58807,112953,45949
06017,El Dorado,191185,85362,29482,114844,44.65,60.07,57714,27648,11495
06057,Nevada,102241,76199,17727,93926,74.53,91.87,49288,26911,2187
06089,Shasta,182155,51196,36384,87580,28.11,48.08,30620,20576,5135
06013,Contra Costa,1165927,39764,88204,127968,3.41,10.98,952,38812,0
06033,Lake,68163,39156,9514,48670,57.44,71.4,29078,10078,675
06079,San Luis Obispo,282424,33126,51577,84703,11.73,29.99,15287,17839,2103
06053,Monterey,439035,29505,41707,71212,6.72,16.22,16348,13157,9901
06061,Placer,404739,29353,30720,60073,7.25,14.84,29353,0,4469
06093,Siskiyou,44076,28803,5734,34537,65.35,78.36,17311,11492,3336
06109,Tuolumne,55620,26477,25858,52335,47.6,94.09,22968,3509,3285
06097,Sonoma,488863,26163,34734,60897,5.35,12.46,14247,11916,1121
06029,Kern,909235,25475,21095,46570,2.8,5.12,25475,0,11384
06083,Santa Barbara,448229,24926,8604,33530,5.56,7.48,18109,6817,6491
06007,Butte,211632,23977,26810,50787,11.33,24.0,20057,3920,850
06005,Amador,40474,23330,13908,37238,57.64,92.0,23330,0,890
06081,San Mateo,764442,21809,28937,50746,2.85,6.64,3563,18246,3667
06045,Mendocino,91601,21696,18397,40093,23.69,43.77,15621,6075,2031
06009,Calaveras,45292,19277,20313,39590,42.56,87.41,19277,0,1997
06085,Santa Clara,1936259,16218,41934,58152,0.84,3.0,8666,7552,661
06063,Plumas,19790,15564,0,15564,78.65,78.65,12074,3490,1368
06001,Alameda,1682353,12599,55047,67646,0.75,4.02,1101,11498,120
06055,Napa,138019,11539,6695,18234,8.36,13.21,9016,2523,0
06039,Madera,156255,9129,16333,25462,5.84,16.3,9129,0,1699
06103,Tehama,65829,7996,13215,21211,12.15,32.22,7996,0,2996
06019,Fresno,1008654,7665,8246,15911,0.76,1.58,7665,0,4459
06115,Yuba,81575,7438,1584,9022,9.12,11.06,7438,0,3544
06041,Marin,262321,6891,58138,65029,2.63,24.79,1748,5143,451
06087,Santa Cruz,270861,6673,50026,56699,2.46,20.93,6673,0,0
06035,Lassen,32730,6119,5323,11442,18.7,34.96,4151,1968,3654
06105,Trinity,16112,6082,0,6082,37.75,37.75,6082,0,9125
06051,Mono,13195,5892,3136,9028,44.65,68.42,0,5892,1301
06043,Mariposa,17131,5742,7554,13296,33.52,77.61,5742,0,3835
06023,Humboldt,136463,4785,8029,12814,3.51,9.39,4785,0,7167
06099,Stanislaus,552878,2625,3195,5820,0.47,1.05,2625,0,0
06069,San Benito,64209,2148,3563,5711,3.35,8.89,2148,0,0
06107,Tulare,473117,1846,7124,8970,0.39,1.9,1846,0,2514
06027,Inyo,19016,1712,3288,5000,9.0,26.29,1712,0,4912
06091,Sierra,3236,1328,525,1853,41.04,57.26,1328,0,1383
06113,Yolo,216403,747,0,747,0.35,0.35,747,0,0
06021,Glenn,28917,556,818,1374,1.92,4.75,556,0,0
06011,Colusa,21839,524,0,524,2.4,2.4,524,0,782
06003,Alpine,1204,0,0,0,0.0,0.0,0,0,1204
06015,Del Norte,27743,0,0,0,0.0,0.0,0,0,1739
06025,Imperial,179702,0,0,0,0.0,0.0,0,0,7272
06031,Kings,152486,0,2590,2590,0.0,1.7,0,0,6656
06047,Merced,281202,0,0,0,0.0,0.0,0,0,0
06049,Modoc,8700,0,2522,2522,0.0,28.99,0,0,1171
06067,Sacramento,1585055,0,2549,2549,0.0,0.16,0,0,2362
06075,San Francisco,873965,0,0,0,0.0,0.0,0,0,3690
06077,San Joaquin,779233,0,0,0,0.0,0.0,0,0,496
06095,Solano,453491,0,22989,22989,0.0,5.07,0,0,4111
06101,Sutter,99633,0,2215,2215,0.0,2.22,0,0,0
