county_fips,county_name,responsibility_area,fhsz_tier,housing_units,pre_2000,built_2000_to_2009,pre_2010,built_2010_or_later,pct_pre_2000,pct_pre_2010,pct_2010_or_later,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,built_1939_or_earlier
001,Alameda County,LRA,Very High,4810,4745,11,4756,54,98.65,98.87,1.13,19,35,11,128,246,768,1171,1036,611,785
001,Alameda County,SRA,Very High,398,398,0,398,0,100.0,100.0,0.0,0,0,0,0,53,45,103,187,0,11
001,Alameda County,LRA,High,16374,11661,2076,13737,2637,71.22,83.9,16.1,160,2477,2076,2483,1961,1399,1755,2123,542,1397
001,Alameda County,SRA,High,3952,3089,826,3914,38,78.16,99.05,0.95,0,38,826,641,817,587,608,169,40,227
001,Alameda County,LRA,Moderate,19019,15027,1028,16055,2964,79.01,84.42,15.58,278,2686,1028,4434,3609,2931,1514,1055,431,1053
001,Alameda County,SRA,Moderate,3560,1945,306,2251,1309,54.64,63.24,36.76,93,1216,306,673,731,245,239,22,19,16
001,Alameda County,LRA,NonWildland,573834,493060,39734,532794,41040,85.92,92.85,7.15,6682,34358,39734,41003,64725,82459,74801,72775,40168,117130
003,Alpine County,No,mapped FHSZ polygon,1540,1311,192,1502,38,85.11,97.56,2.44,8,30,192,276,290,412,146,56,52,78
005,Amador County,SRA,Very High,11006,9174,1424,10598,408,83.36,96.29,3.71,36,372,1424,1668,2128,2837,996,573,292,681
005,Amador County,LRA,High,1942,1225,371,1596,346,63.07,82.2,17.8,73,273,371,229,273,332,69,94,8,221
005,Amador County,SRA,High,4471,3200,864,4064,407,71.56,90.89,9.11,144,263,864,621,724,631,341,257,241,384
005,Amador County,LRA,NonWildland,973,311,448,759,214,32.0,78.02,21.98,82,132,448,153,25,86,0,0,0,47
005,Amador County,No,mapped FHSZ polygon,413,353,60,413,0,85.42,100.0,0.0,0,0,60,21,264,8,37,18,0,5
007,Butte County,LRA,Very High,2090,1092,257,1350,740,52.26,64.58,35.42,509,231,257,106,206,429,223,100,18,9
007,Butte County,SRA,Very High,10027,7534,1582,9116,911,75.13,90.91,9.09,319,592,1582,1582,2294,1992,826,385,145,310
007,Butte County,LRA,High,5348,3356,874,4230,1118,62.76,79.09,20.91,556,562,874,1378,667,811,217,144,94,45
007,Butte County,SRA,High,6241,4993,823,5816,425,80.01,93.2,6.8,89,336,823,1011,1650,1373,368,234,202,155
007,Butte County,LRA,Moderate,2108,1431,593,2024,84,67.88,95.99,4.01,0,84,593,173,306,175,184,372,100,121
007,Butte County,SRA,Moderate,960,903,57,960,0,94.03,100.0,0.0,0,0,57,139,189,178,97,264,29,7
007,Butte County,LRA,NonWildland,62846,49912,7030,56942,5904,79.42,90.61,9.39,793,5112,7030,7187,9683,10879,6795,6743,3450,5175
007,Butte County,No,mapped FHSZ polygon,513,513,0,513,0,100.0,100.0,0.0,0,0,0,15,49,209,31,0,129,81
009,Calaveras County,SRA,Very High,14931,12201,1998,14199,732,81.71,95.1,4.9,119,613,1998,2680,3841,2400,1594,801,466,418
009,Calaveras County,LRA,High,2226,1621,409,2030,196,72.83,91.19,8.81,46,150,409,258,484,200,254,65,81,280
009,Calaveras County,SRA,High,7630,5296,1894,7189,441,69.41,94.23,5.77,0,441,1894,1798,1665,1099,194,134,119,287
009,Calaveras County,SRA,Moderate,833,627,178,806,27,75.33,96.74,3.26,16,11,178,198,372,25,33,0,0,0
009,Calaveras County,LRA,NonWildland,730,508,190,698,32,69.53,95.62,4.38,0,32,190,101,19,55,105,165,33,29
009,Calaveras County,No,mapped FHSZ polygon,1072,810,45,856,216,75.6,79.83,20.17,0,216,45,111,249,111,218,51,16,54
011,Colusa County,SRA,Very High,425,364,37,401,24,85.68,94.32,5.68,0,24,37,90,97,95,7,15,19,42
011,Colusa County,LRA,NonWildland,7318,5353,1208,6561,757,73.15,89.66,10.34,93,664,1208,815,693,1074,456,836,426,1053
011,Colusa County,No,mapped FHSZ polygon,356,334,13,346,10,93.69,97.33,2.67,5,4,13,54,51,57,20,47,53,53
013,Contra Costa County,LRA,Very High,14616,13464,671,14136,480,92.12,96.72,3.28,75,405,671,1623,2642,2385,2209,2464,1268,873
013,Contra Costa County,SRA,Very High,393,369,0,369,24,93.81,93.81,6.19,0,24,0,41,74,201,15,20,0,18
013,Contra Costa County,LRA,High,26035,19764,2851,22614,3421,75.91,86.86,13.14,455,2966,2851,2549,3564,5450,3150,3375,1094,581
013,Contra Costa County,SRA,High,8047,7073,577,7650,397,87.89,95.07,4.93,29,368,577,1305,2425,1518,523,640,186,476
013,Contra Costa County,LRA,Moderate,29640,24736,3358,28095,1545,83.46,94.79,5.21,116,1429,3358,5023,6168,4410,3971,2779,1349,1036
013,Contra Costa County,LRA,NonWildland,344610,280503,41818,322322,22288,81.4,93.53,6.47,3501,18788,41818,40980,53045,61513,44329,43187,22720,14729
015,Del Norte County,LRA,Moderate,1516,1165,145,1309,207,76.83,86.37,13.63,0,207,145,305,362,159,212,73,20,33
015,Del Norte County,SRA,Moderate,5775,4675,721,5395,380,80.95,93.43,6.57,67,313,721,1100,890,1067,481,872,183,82
015,Del Norte County,LRA,NonWildland,2867,2532,297,2828,39,88.3,98.66,1.34,0,39,297,304,433,499,250,539,138,367
015,Del Norte County,No,mapped FHSZ polygon,932,684,154,837,95,73.35,89.82,10.18,0,95,154,210,95,161,113,27,33,44
