slug,jurisdiction,geoid,status,authority,adopted_date,effective_date,scope,fences_named,source_url,retrieved,last_reviewed,note
agoura-hills,Agoura Hills city,0600394,not_yet_researched,,,,,,,,,
altadena,Altadena CDP,0601290,not_yet_researched,,,,,,,,,
big-bear-lake,Big Bear Lake city,0606434,not_yet_researched,,,,,,,,,
calabasas,Calabasas city,0609598,not_yet_researched,,,,,,,,,
crestline,Crestline CDP,0617162,not_yet_researched,,,,,,,,,
glendale,Glendale city,0630000,not_yet_researched,,,,,,,,,
goleta,Goleta city,0630378,not_yet_researched,,,,,,,,,
hidden-hills,Hidden Hills city,0633518,not_yet_researched,,,,,,,,,
idyllwild,Idyllwild-Pine Cove CDP,0636203,not_yet_researched,,,,,,,,,
la-canada-flintridge,La Cañada Flintridge city,0639003,not_yet_researched,,,,,,,,,
la-crescenta-montrose,La Crescenta-Montrose CDP,0639045,not_yet_researched,,,,,,,,,
laguna-beach,Laguna Beach city,0639178,not_yet_researched,,,,,,,,,
lake-arrowhead,Lake Arrowhead CDP,0639444,not_yet_researched,,,,,,,,,
lake-elsinore,Lake Elsinore city,0639486,not_yet_researched,,,,,,,,,
malibu,Malibu city,0645246,adopted,Malibu Municipal Code Ch. 17.53 (Fire-Resistant Landscaping); Ordinance No. 361,2020-03-23,2020-08-12,citywide; five-foot ember-resistant zone around structures,True,https://www.malibucity.org/1035/Fire-Resistant-Landscaping,2026-09-07,2026-09-07,"Hedges and flammable fences/walls prohibited within five feet of a building; effective date is the California Coastal Commission's LCP certification date, since Malibu's fire rules are also Local Coastal Program amendments. A further restriction on attached combustible fences/gates within five feet of a structure took effect 2024-01-01 per the city's own posting; not yet confirmed against a specific ordinance number."
menifee,Menifee city,0646842,not_yet_researched,,,,,,,,,
mission-viejo,Mission Viejo city,0648256,not_yet_researched,,,,,,,,,
modjeska-canyon,Modjeska CDP,0648410,not_yet_researched,,,,,,,,,
montecito,Montecito CDP,0648844,not_yet_researched,,,,,,,,,
murrieta,Murrieta city,0650076,not_yet_researched,,,,,,,,,
ojai,Ojai city,0653476,not_yet_researched,,,,,,,,,
rancho-cucamonga,Rancho Cucamonga city,0659451,no_known_ordinance,"Rancho Cucamonga Municipal Code Ch. 17.48 (Fences, Walls, and Screening) -- general zoning only, no fire-hazard or combustibility provisions found",,,,False,https://ecode360.com/43292959,2026-09-07,2026-09-07,"The Fire Protection District's Ordinance No. FD60 (adopted 2025-11-19) designates Fire Hazard Severity Zones and a Wildland-Urban Interface Fire Area and requires vegetation management, but the city's general fence/wall chapter (17.48) has no fire-hazard or fence-material provisions distinguishing it from any other California city. Re-check once Zone 0 has an effective date."
rancho-santa-margarita,Rancho Santa Margarita city,0659587,not_yet_researched,,,,,,,,,
redlands,Redlands city,0659962,not_yet_researched,,,,,,,,,
riverside,Riverside city,0662000,not_yet_researched,,,,,,,,,
running-springs,Running Springs CDP,0663316,not_yet_researched,,,,,,,,,
san-diego,San Diego city,0666000,not_yet_researched,,,,,,,,,
santa-barbara,Santa Barbara city,0669070,not_yet_researched,,,,,,,,,
santa-paula,Santa Paula city,0670042,not_yet_researched,,,,,,,,,
santa-ynez,Santa Ynez CDP,0670182,not_yet_researched,,,,,,,,,
silverado-canyon,Silverado CDP,0671918,not_yet_researched,,,,,,,,,
simi-valley,Simi Valley city,0672016,not_yet_researched,,,,,,,,,
solvang,Solvang city,0672576,not_yet_researched,,,,,,,,,
temecula,Temecula city,0678120,not_yet_researched,,,,,,,,,
thousand-oaks,Thousand Oaks city,0678582,not_yet_researched,,,,,,,,,
topanga,Topanga CDP,0678960,not_yet_researched,,,,,,,,,
trabuco-canyon,Trabuco Canyon CDP,0680210,not_yet_researched,,,,,,,,,
wildomar,Wildomar city,0685446,not_yet_researched,,,,,,,,,
yorba-linda,Yorba Linda city,0686832,not_yet_researched,,,,,,,,,
yucaipa,Yucaipa city,0687042,not_yet_researched,,,,,,,,,
